source,target,weight
10158972,10158972,1
10158972,5480553,2
10158972,14517691,1
10158972,5559657,2
10158972,9750356,1
10158972,7503199,3
10158972,16586265,1
10158972,15556081,1
10158972,13167025,2
10158972,8995807,1
10158972,4391978,2
10158972,2557644,2
10158972,10934438,1
12842593,2439067,2
12842593,11003707,8
12842593,9800031,5
12842593,5186443,6
12842593,3729504,1
12842593,3945394,1
12842593,4128002,2
12842593,6703240,1
12842593,8546775,9
12842593,8034919,9
12842593,18142558,2
12842593,5771934,8
12842593,17525174,12
12842593,15638932,6
12842593,7431625,1
12842593,16399845,1
12842593,4346154,6
12842593,15633329,4
12842593,3272218,6
12842593,16318521,7
12842593,13665529,1
12842593,15225589,3
12842593,2854715,3
12842593,3815483,3
12842593,9585013,1
12842593,13046847,5
12842593,20370716,3
12842593,13046354,2
12842593,13863331,1
12842593,10119916,7
12842593,10809383,2
12842593,8687096,1
12842593,3234817,5
12842593,16335254,3
12842593,12704069,3
12842593,4575178,2
12842593,17176927,1
12842593,19857573,4
12842593,13038489,1
12842593,9469519,1
12842593,9585145,1
12842593,4234009,3
12842593,8712361,2
12842593,3235409,1
12842593,9643439,1
12842593,14891367,10
12842593,2966602,4
12842593,12299621,8
12842593,17423412,1
12842593,17150791,2
12842593,14541927,1
12842593,2369444,11
12842593,15766806,3
12842593,3061422,5
12842593,12478620,3
12842593,15571194,3
12842593,15541971,1
12842593,12281339,1
12842593,7056904,2
12842593,17176911,1
12842593,2920554,1
12842593,17165286,11
12842593,5321459,2
12842593,3945225,1
12842593,13795090,1
12842593,15639216,4
12842593,8639662,2
12842593,15686444,2
12842593,15636958,1
12842593,13858797,3
12842593,3805641,1
12842593,15409328,1
12842593,8349454,1
12842593,8065380,3
12842593,5744058,3
12842593,17315288,3
12842593,16742642,1
12842593,10710503,2
12842593,5591201,2
12842593,10158972,1
12842593,8037197,1
12842593,10855798,1
12842593,14434314,1
12842593,17696578,1
12842593,14206030,1
12842593,12842593,1
12842593,5734134,1
3844799,15585114,1
3844799,8544824,2
3844799,17913032,3
3844799,13986477,1
3844799,8065380,6
3844799,9798791,2
3844799,8711574,13
3844799,17591442,6
3844799,17990556,3
3844799,8712361,4
3844799,3709977,2
3844799,8065771,4
3844799,11178891,1
3844799,9753418,4
3844799,4680995,1
3844799,2963280,9
3844799,13841523,1
3844799,16369928,10
3844799,20479959,2
3844799,8349553,6
3844799,17588623,2
3844799,8193545,3
3844799,15638906,3
3844799,13046354,1
3844799,4127944,4
3844799,17942676,3
3844799,18639459,12
3844799,9845997,2
3844799,15632120,1
3844799,13806524,1
3844799,7421507,2
3844799,13988443,1
3844799,4114133,1
3844799,6692908,1
3844799,16399845,4
3844799,16884085,1
3844799,15541971,2
3844799,15638932,1
3844799,15679639,3
3844799,5734134,1
3844799,8698941,3
3844799,17827115,1
3844799,12813847,2
3844799,15636958,3
3844799,9507904,2
3844799,17324637,1
3844799,10018260,1
3844799,4679139,1
3844799,2935173,2
3844799,17980792,2
3844799,10944822,1
3844799,17671375,3
3844799,8814922,1
3844799,10682411,1
3844799,8069478,1
3844799,15829660,2
3844799,18341449,1
3844799,10495502,2
3844799,8559525,1
3844799,7467027,1
3844799,18861011,1
3844799,16629886,1
37365,2200028,1
37365,8700125,16
37365,9927082,5
37365,17414715,15
37365,8111135,2
37365,16087799,2
2200028,8700125,27
2200028,17414715,29
2200028,2204467,2
2200028,9927082,7
2200028,16087799,1
2200028,8118929,1
2200028,37365,1
8700125,7952981,8
8700125,8111135,31
8700125,9567051,30
8700125,8398900,14
8700125,8118929,9
8700125,17414715,20
8700125,7694589,16
8700125,8340950,1
8700125,8700125,4
8700125,2204467,8
8700125,9927082,3
8700125,16087799,3
8700125,4721538,1
8700125,9940382,2
8700125,8177199,1
8700125,2215247,1
9927082,11144258,1
9927082,17962513,2
9927082,17047087,3
9927082,2204467,1
9927082,19611917,3
9927082,16087799,2
9927082,5118060,1
9927082,14461238,1
9927082,9747418,2
9927082,4637677,1
9927082,8118929,1
9927082,16098538,1
40045,8877971,14
40045,5030808,23
40045,7865652,72
40045,7941652,41
40045,8311264,40
40045,7939979,39
40045,8276782,5
40045,7941642,16
40045,11543212,8
40045,7939890,22
40045,5291791,15
40045,12225666,11
40045,3712893,2
40045,6451332,5
40045,8480221,1
40045,7107433,1
40045,8273369,2
40045,5261424,1
40045,8102935,8
40045,7394271,2
40045,17545695,1
8877971,16795838,9
8877971,8509534,38
8877971,8293958,1
8877971,17844900,5
8877971,8273369,9
8877971,8102935,2
8877971,12336493,3
8877971,3736500,8
8877971,3450442,2
8877971,12225666,26
8877971,3813487,2
8877971,7934904,1
8877971,17728605,2
8877971,8021456,3
8877971,8704079,23
8877971,16795524,17
8877971,10990803,3
8877971,5322337,3
8877971,12882387,2
8877971,13380660,3
8877971,9119558,6
8877971,5261424,7
8877971,2611805,1
8877971,3486950,4
8877971,8274021,3
8877971,7939890,3
8877971,10865025,1
8877971,11543212,6
8877971,7865696,1
8877971,4493199,1
8877971,5030808,1
8877971,7515491,1
8877971,3712893,2
8877971,14437742,5
8877971,7394271,3
8877971,8311264,1
8877971,10555409,1
8877971,11146422,10
8877971,6451332,2
8877971,7939979,2
8877971,16906721,1
8877971,11333054,4
8877971,7941652,1
8877971,8480221,1
8877971,5291791,1
8877971,7941642,1
8877971,11229136,1
8877971,3650006,1
5030808,15746421,19
5030808,15595950,5
5030808,7939979,27
5030808,7542938,3
5030808,7939890,16
5030808,3410499,6
5030808,3464773,19
5030808,7873135,4
5030808,3486381,9
5030808,8102935,12
5030808,8311264,32
5030808,3547397,6
5030808,6340439,7
5030808,6451332,25
5030808,7864823,3
5030808,3716797,9
5030808,10555409,3
5030808,3708875,6
5030808,8877971,4
5030808,8198238,27
5030808,3790004,2
5030808,8198317,13
5030808,8244723,12
5030808,3827211,13
5030808,3538129,16
5030808,3840345,9
5030808,3885215,4
5030808,4700078,2
5030808,6557581,21
5030808,3865952,2
5030808,8245869,1
5030808,4327684,2
5030808,3980315,5
5030808,4247099,3
5030808,4116174,5
5030808,7600311,7
5030808,3893195,2
5030808,3806573,11
5030808,3958234,7
5030808,4651929,2
5030808,4324898,9
5030808,15689373,1
5030808,15681740,2
5030808,15714639,4
5030808,11009492,1
5030808,17351780,1
5030808,8349454,2
5030808,14493841,1
5030808,13833814,1
5030808,1591351,5
5030808,16457812,1
5030808,3844961,1
5030808,9761454,1
5030808,3848843,1
5030808,13968203,3
5030808,2612527,2
5030808,16393165,1
5030808,13858824,11
5030808,13849557,2
5030808,17819985,1
5030808,10013517,2
5030808,10167078,1
5030808,8227502,1
5030808,8246081,1
5030808,17062823,3
5030808,17743170,12
5030808,8274021,2
5030808,11195708,2
5030808,17356450,1
5030808,15716934,13
5030808,2610744,1
5030808,8399890,2
5030808,3511996,2
5030808,5291791,3
5030808,3450442,9
5030808,6143930,2
5030808,8480221,7
5030808,7851153,1
5030808,7107433,1
5030808,3592997,2
5030808,10831005,1
5030808,5327961,2
5030808,8542422,1
5030808,3465659,12
5030808,7934904,3
5030808,8276782,1
5030808,9119558,1
5030808,7935088,2
5030808,3768025,1
5030808,3694515,3
5030808,3410506,1
5030808,8273369,2
5030808,3712893,1
5030808,8509534,1
5030808,3486950,2
5030808,4991243,2
5030808,7527710,1
5030808,3774568,5
5030808,5247102,7
5030808,8245692,10
5030808,2608843,8
5030808,10990803,3
5030808,14154154,3
5030808,7503199,2
5030808,8256186,2
5030808,16515871,1
5030808,3966683,1
5030808,4119387,3
5030808,8231264,1
5030808,2584838,3
5030808,3963891,5
5030808,8245014,3
5030808,4076389,7
5030808,16735586,1
5030808,2571761,1
5030808,5261424,1
5030808,7394271,1
5030808,7941652,2
5030808,3158543,1
5030808,7845346,1
5030808,8704079,1
5030808,11543212,2
5030808,7852250,3
5030808,8021456,5
5030808,17844900,1
5030808,40045,6
5030808,7865652,1
5030808,10865025,1
5030808,3954014,1
5030808,13589251,1
5030808,16259595,1
5030808,14437742,1
5030808,10160250,1
5030808,15589362,1
5030808,8199671,2
5030808,15674262,1
5030808,3814701,1
5030808,8055671,1
5030808,2568465,2
5030808,12260696,1
5030808,11051276,1
5030808,4700182,1
5030808,7719547,1
5030808,4679139,1
5030808,13789482,1
7865652,7941652,7
7865652,5030808,9
7865652,8276782,6
7865652,7939979,15
7865652,8311264,12
7865652,7939890,10
7865652,17545695,2
7865652,14898295,13
7865652,15691114,3
7865652,16629931,20
7865652,3819171,6
7865652,16627838,46
7865652,14522124,18
7865652,16039470,1
7865652,16627773,15
7865652,9983191,13
7865652,16015738,14
7865652,12217572,9
7865652,8248706,3
7865652,16440649,4
7865652,16939375,10
7865652,16627950,3
7865652,15734666,1
7865652,8238322,2
7865652,8318678,1
7865652,11691640,1
7865652,17355757,1
7865652,5474852,4
7865652,4665186,3
7865652,16486385,4
7865652,14461238,1
7865652,2439067,1
7865652,3158123,2
7865652,12299621,1
7865652,2966602,4
7865652,16259595,1
7865652,3543931,2
7865652,9445876,2
7865652,17423412,1
7865652,11135340,2
7865652,2369444,1
7865652,16637377,1
7865652,17354392,1
7865652,14333495,2
7865652,7952981,1
7865652,16089743,1
7941652,3450442,2
7941652,7939890,16
7941652,7527710,12
7941652,4493199,15
7941652,3592997,8
7941652,5291791,9
7941652,7939979,17
7941652,8276782,4
7941652,16259595,17
7941652,9119558,6
7941652,7843730,11
7941652,2612527,22
7941652,3464773,3
7941652,3486381,11
7941652,3410499,8
7941652,7873135,14
7941652,11105182,2
7941652,10865025,11
7941652,3486950,4
7941652,6451332,14
7941652,16795524,17
7941652,4354933,22
7941652,3410506,11
7941652,8021456,6
7941652,16795838,13
7941652,8704079,12
7941652,7941642,13
7941652,7394271,7
7941652,7198338,4
7941652,7852250,7
7941652,3716797,3
7941652,6791927,5
7941652,17732291,2
7941652,5030808,5
7941652,7865652,14
7941652,11543212,6
7941652,7916593,11
7941652,3511996,5
7941652,10555409,4
7941652,7092417,8
7941652,7107433,15
7941652,7851153,1
7941652,3774568,3
7941652,8877795,3
7941652,8102935,8
7941652,3158543,11
7941652,7845346,27
7941652,3694515,8
7941652,11067379,1
7941652,3547397,8
7941652,3712893,1
7941652,8399890,7
7941652,5090549,8
7941652,40045,6
7941652,2610744,2
7941652,12882387,1
7941652,8311264,7
7941652,12225666,2
7941652,14437742,1
7941652,6143930,2
7941652,5261424,1
7941652,7864823,8
7941652,3771794,4
7941652,7515491,17
7941652,8509534,3
7941652,7865767,11
7941652,8877971,3
7941652,7865696,9
7941652,3709977,1
7941652,2611805,13
7941652,3465659,3
7941652,7935088,2
7941652,8273369,2
7941652,13380660,1
7941652,8274021,7
7941652,3736500,2
7941652,13789482,1
7941652,15690093,1
7941652,7542938,4
7941652,4116174,1
7941652,6340439,6
7941652,8480221,2
7941652,8012953,1
7941652,3768025,2
7941652,10990803,2
40152,1414206,1
40152,3436420,7
40152,4400767,1
40152,4523584,4
40152,6445994,10
40152,4523803,3
40152,17176866,4
40152,3945232,7
40152,10202724,2
40152,4506509,2
40152,1405493,1
40152,15769419,2
1414206,15770945,1
1414206,1406463,2
1414206,15769680,1
1414206,1375101,1
1414206,12634154,2
1414206,15997666,2
1414206,10459723,1
1414206,10202724,1
1414206,12740290,4
1414206,1435466,1
1414206,17951049,1
15997645,15998100,2
15997645,15997692,1
15997645,9589146,6
15997645,12617396,4
15997645,13380660,3
15997645,16906721,1
15997645,11067379,10
15997645,5708994,6
15997645,11853038,2
15997645,3736500,4
15997645,3650006,2
15997645,10865025,3
15997645,11656349,2
15997645,4116174,1
15997645,13832416,2
15997645,5261424,1
15997645,10990803,1
15997645,11745381,1
15997645,12121795,2
15997645,15997983,1
15997645,15998218,1
15997645,5591201,1
15998100,5261424,7
15998100,15998261,1
15998100,16316916,2
15998100,5053417,2
15998100,11853038,2
15998100,4679139,7
15998100,11067379,4
15998100,5591201,2
15998100,9119558,1
15998100,15458316,2
15998100,12842593,1
15998100,8012953,1
15998100,13832416,1
15997692,8480221,1
15997692,15997807,1
15997692,15998469,1
15997692,10555409,2
15997692,4991243,1
15997692,15996518,1
15997692,15997645,1
15997692,9842383,1
15997692,3486950,3
15997692,5261424,2
15997692,8509534,2
15997692,12225666,4
15997692,13380660,2
15997692,4116174,1
15997692,9787859,1
15997692,16424131,1
8980589,8069365,77
8980589,16987409,28
8980589,8069432,38
8980589,8565131,64
8980589,11464638,38
8980589,17165711,8
8980589,14948339,21
8980589,9212816,29
8980589,4241237,3
8980589,14260575,5
8980589,4473922,8
8980589,10809383,1
8980589,13858797,24
8980589,13988443,10
8980589,13803032,15
8980589,17854345,6
8980589,1805418,5
8980589,17379420,9
8980589,7612147,13
8980589,18264509,1
8980589,17237305,12
8980589,4227544,1
